INFO  - 2014-11-12 17:17:47.767; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.768; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.768; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.768; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.768; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.768; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.768; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-11-12 17:17:47.793; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-12 17:17:47.796; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-12 17:17:47.797; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-12 17:17:47.798; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-12 17:17:47.800; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-11-12 17:17:47.825; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-11-12 17:17:47.826; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-11-12 17:17:47.838; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/SOLR/solr-4.10.2/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/SOLR/solr-4.10.2/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
